Data S2 Name,Original_Food,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),ch4_in_kgco2eq,n2o_in_kgco2eq,co2_in_kgco2eq
Almond milk,Nuts,26.11011668,26.11011668,,26.11011668,0.614285714,12.74196619,12.74196619,11.12853984,4.148335342,0.614285714,0.614285714,0.614285714
Oat milk,Oatmeal,10,10,,4.303597583,2.755555556,2.755555556,6.921148898,10,10,2.755555556,2.755555556,2.755555556
Rice milk,Rice,8.333333333,8.333333333,,12.60261059,3.708333333,3.708333333,7.473301933,8.333333333,8.333333333,3.708333333,3.708333333,3.708333333
Dark Chocolate (70% cocoa),Dark Chocolate,1.410686523,1.410686523,,1.423416337,1.380177515,1.224349482,1.312730836,0.957746479,0.828024123,1.380177515,1.380177515,1.380177515
Milk Chocolate,Dark Chocolate,1.632507245,1.632507245,,2.725708447,1.993589744,0.747591118,1.502014959,0.32747398,0.353201846,1.993589744,1.993589744,1.993589744
Pasta,Wheat & Rye (Bread),0.815677966,0.815677966,,0.815677966,0.98125,0.98125,0.753840571,0.841964846,0.841964846,0.98125,0.98125,0.98125
Sunflower seeds,Sunflower Oil,1.75,1.75,,1.75,1.852941176,1.852941176,1.756240095,1.796338731,1.796338731,1.852941176,1.852941176,1.852941176
Olives,Olive Oil,4.761904762,4.761904762,,4.761904762,5.479729047,5.479729047,6.834690733,7.025105124,7.025105124,5.479729047,5.479729047,5.479729047
Cereals & Oilcrops Misc.,Wheat & Rye (Bread),1.134020619,1.134020619,,0.397628973,0.960244648,1.066719936,1.27971403,1.500231696,1.654602133,0.960244648,0.960244648,0.960244648
Hard Cheese,Cheese,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Soft Cheese,Cheese,2,2,2,2,2,2,2,2,2,2,2,2
Semi-Hard Cheese,Cheese,1,1,1,1,1,1,1,1,1,1,1,1
