food.group,Calories,Protein,Fat,Carbohydrates,Vitamin.C,Vitamin.A,Folate,Calcium,Iron,Zinc,Potassium,Dietary.Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated.FA,Monounsaturated.FA,Polyunsaturated.FA,Omega.3..USDA.only.,B12..USDA.only.,Water.moisture,Ash,Refuse
Rice,364,6.655,0.535,80.415,0,0,7,7,2.915,1.15,76.5,2.8,0.1905,4,83,0.3725,0.0515,3.129,0.139,NA,23,1.0055,0.1255,0.1805,0.168,NA,0,11.875,0.515,0
Wheat & Rye (Bread),338.8,11.826,1.793,73.584,0,0.2,39,27.8,3.348,2.761,388.8,11.71111111,0.3924,2,350.7,0.3751,0.1364,4.6606,0.3112,27.46666667,108.2,3.2573,0.295,0.2241,0.7727,NA,0,11.282,1.517,0
Maize (Meal),368.3333333,8.143333333,3.623333333,77.09,0,11,28.66666667,5.333333333,2.11,1.596666667,221.3333333,5.5,0.256666667,23.66666667,160,0.281333333,0.153333333,3.303333333,0.447,NA,90.66666667,0.342,0.501666667,0.925333333,1.673666667,NA,0,10.18333333,0.953333333,0
Barley (Beer),353,11.195,1.73,75.6,0,1,21,31,3.05,2.45,366,16.45,0.459,10.5,242.5,0.4185,0.1995,4.604,0.289,37.8,106,1.6325,0.363,0.222,0.834,NA,0,9.765,1.7,0
Oatmeal,389,16.89,6.9,66.27,0,0,56,54,4.72,3.97,429,10.6,0.626,2,523,0.763,0.139,0.961,0.119,NA,177,4.916,1.217,2.178,2.535,NA,0,8.22,1.72,0
Cassava,160,1.36,0.28,38.06,20.6,1,27,16,0.27,0.34,271,1.8,0.1,14,27,0.087,0.048,0.854,0.088,23.7,21,0.384,0.074,0.075,0.048,NA,0,59.68,0.62,16
Beet Sugar,393,0,0,99.89,0,0,0,6.5,0.21,0.02,15.5,0,0.008,2,0.5,0,0.019,0,0,0,1,0.025,0,0,0,NA,0,0.025,0.09,0
Groundnuts,567,25.8,49.24,16.13,0,0,240,92,4.58,3.27,705,8.5,1.144,18,376,0.64,0.135,12.066,0.348,52.5,168,1.934,6.279,24.426,15.558,NA,0,6.5,2.33,0
Other Pulses,355.2857143,23.91095238,4.092380952,58.07857143,1.985,1,421.1428571,156.8095238,7.37952381,3.669047619,1346.666667,17.27142857,1.091904762,15.80952381,417.6190476,0.723285714,0.30052381,2.129380952,0.38747619,95.14,203,2.537190476,0.653857143,0.884571429,1.919142857,NA,0,10.19619048,3.722380952,0
Cane Sugar,393,0,0,99.89,0,0,0,6.5,0.21,0.02,15.5,0,0.008,2,0.5,0,0.019,0,0,0,1,0.025,0,0,0,NA,0,0.025,0.09,0
Peas,216.5,14.62,0.78,39.095,20.9,22.5,169.5,31,3.145,2.395,533.5,15.3,0.4955,10,214.5,0.496,0.1735,2.4895,0.1715,61.95,41,0.815,0.116,0.1385,0.341,NA,0,43.74,1.765,31
Nuts,541.3235294,13.405,47.44029412,24.01235294,5.902941176,2.264705882,50.44117647,103.9117647,3.312941176,3.008529412,592.9117647,8.003571429,1.188411765,7.088235294,362,0.385852941,0.278575758,1.973794118,0.369235294,46.70588235,181.9117647,2.819735294,6.241764706,26.61302941,11.93282353,NA,0,12.85558824,2.288529412,21.26470588
Soymilk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tofu,446,36.49,19.94,30.16,6,1,375,277,15.7,4.89,1797,9.3,1.658,2,704,0.874,0.87,1.623,0.377,115.9,280,2.517,2.884,4.404,11.255,NA,0,8.54,4.87,0
Soybean Oil,884,0,100,0,0,0,0,0,0.05,0.01,0,0,0,0,0,0,0,0,0,0.2,0,0,15.65,22.783,57.74,NA,0,0,0,0
Palm Oil,862,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,81.5,11.4,1.6,NA,0,0,0,0
Sunflower Oil,884,0,100,0,0,0,0,0,0.03,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,10.1,45.4,40.1,NA,0,0,0,0
Rapeseed Oil,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,9.4735,61.2315,24.686,NA,0,0,0,0
Sunflower seeds,584,20.78,51.46,20,1.4,3,227,78,5.25,5,645,8.6,1.8,9,660,1.48,0.355,8.335,1.345,55.1,325,1.95,4.455,18.528,23.137,NA,0,4.73,3.02,46
Olive Oil,884,0,100,0,0,0,0,1,0.56,0,1,0,0,2,0,0,0,0,0,0.3,0,0,13.808,72.961,10.523,NA,0,0,0,0
Tomatoes,18,0.88,0.2,3.89,13.7,42,15,10,0.27,0.17,237,1.2,0.059,5,24,0.037,0.019,0.594,0.08,6.7,11,0.114,0.028,0.031,0.083,NA,0,94.52,0.5,9
Onions & Leeks,35.33333333,1.61,0.23,7.726666667,17.73333333,25,33,37.66666667,0.97,0.36,211.3333333,2.233333333,0.064,12.33333333,38.33333333,0.050333333,0.065666667,0.347,0.084333333,5.7,17.66666667,0.142,0.047,0.032,0.082333333,NA,0,89.81333333,0.62,16.33333333
Root Vegetables,58.75,1.959375,0.44375,12.94625,18.45,109.875,38.125,59.25,1.935,0.5225,370.4375,3.28125,0.13525,55.5625,54.5,0.0560625,0.067875,1.0339375,0.20075,11.7,32.9375,2.5058,0.19875,0.0555625,0.1345625,NA,0,83.423125,1.235625,17.4375
Brassicas,29.4,2.332,0.321,5.86,57.75,94,62.8,88.1,1.063,0.331,275.8,2.55,0.0608,34.6,47.4,0.0781,0.0795,0.6606,0.1858,18.9,27.1,0.3145,0.0509,0.022,0.1084,NA,0,90.543,0.941,26.4
Citrus Fruit,48.71428571,0.971428571,0.238571429,13.06142857,33.6,8,24.71428571,35.14285714,1.452857143,0.384285714,231.2857143,1.983333333,0.080714286,2.142857143,28.57142857,0.057857143,0.043142857,0.420571429,0.062285714,7.983333333,16.57142857,0.765142857,0.041333333,0.030166667,0.071333333,NA,0,85.16714286,0.562857143,24.85714286
Bananas,89,1.09,0.33,22.84,8.7,3,20,5,0.26,0.15,358,2.6,0.078,1,22,0.031,0.073,0.665,0.367,9.8,27,0.27,0.112,0.032,0.073,NA,0,74.91,0.82,36
Apples,52,0.26,0.17,13.81,4.6,3,3,6,0.12,0.04,107,2.4,0.027,1,11,0.017,0.026,0.091,0.041,3.4,5,0.035,0.028,0.007,0.051,NA,0,85.56,0.19,10
Berries & Grapes,55.53846154,1.328461538,0.506153846,13.19769231,33.83846154,110.5384615,16.90909091,50.76923077,0.806923077,0.229230769,190.3076923,3.983333333,0.111153846,2.615384615,31.76923077,0.040416667,0.181461538,0.526583333,0.091916667,8.19,19.46153846,0.71675,0.058916667,0.041583333,0.251416667,NA,0,84.39230769,0.578461538,6.153846154
Wine,83,0.07,0,2.72,0,0,1,8,0.37,0.13,99,0,0.007,5,20,0.005,0.023,0.166,0.054,5,11,0.124,0,0,0,NA,0,86.58,0.24,0
Coffee,16.565,1.9878,0.3313,0,0,0,33.13,33.13,0.16565,0.3313,811.685,0,0.03313,33.13,49.695,0.23191,1.25894,3.163915,0.016565,43.069,49.695,0.380995,0.03313,0.248475,0.016565,NA,0,6,5.79775,NA
Milk Chocolate,228,19.6,13.7,57.9,0,0,32,128,13.86,6.81,1524,37,3.788,21,734,0.078,0.241,2.185,0.118,12,499,3.837,8.07,4.57,0.44,NA,0,3,5.8,0
Dark Chocolate,228,19.6,13.7,57.9,0,0,32,128,13.86,6.81,1524,37,3.788,21,734,0.078,0.241,2.185,0.118,12,499,3.837,8.07,4.57,0.44,NA,0,3,5.8,0
Bovine Meat (beef herd),291,17.32,24.05,0,0,0,7,8,1.83,3.57,267,0,0.069,59,154,0.08,0.16,3.54,0.33,NA,17,0.013,9.75,10.47,0.92,NA,2.67,57.26,0.81,19
Bovine Meat (dairy herd),291,17.32,24.05,0,0,0,7,8,1.83,3.57,267,0,0.069,59,154,0.08,0.16,3.54,0.33,NA,17,0.013,9.75,10.47,0.92,NA,2.67,57.26,0.81,19
Lamb & Mutton,267,16.88,21.59,0,0,0,18,12,1.57,3.33,230,0,0.104,58,160,0.12,0.22,6.1,0.13,NA,22,0.019,9.47,8.86,1.7,NA,2.39,60.7,0.88,23
Pig Meat,376,13.91,35.07,0,0.4,2,4,19,0.69,1.59,253,0,0.055,42,155,0.595,0.207,3.846,0.284,NA,13,0.011,12.44,15.93,3.8,NA,0.61,49.83,0.72,18
Eggs,143,12.56,9.51,0.72,0,160,47,56,1.75,1.29,138,0,0.072,142,198,0.04,0.457,0.075,0.17,293.8,12,0.028,3.126,3.658,1.911,NA,0.89,76.15,1.06,12
Poultry Meat,215,18.6,15.06,0,1.6,41,6,11,0.9,1.31,189,0,0.048,70,147,0.06,0.12,6.801,0.35,59.7,20,0.019,4.31,6.24,3.23,NA,0.31,65.99,0.79,32
Milk,61,3.15,3.27,4.78,0,46,5,113,0.03,0.37,132,0,0.025,43,84,0.046,0.169,0.089,0.036,14.3,10,0.004,1.865,0.812,0.195,NA,0.45,88.13,0.67,0
"Butter, Cream & Ghee",531,1.45,59.055,1.425,0.3,547.5,3.5,44.5,0.025,0.16,49.5,0,0.011,24.5,43,0.0135,0.072,0.0405,0.0145,17.8,4.5,0.0025,37.2,15.8535,2.2085,NA,0.175,37.825,0.245,0
Cheese,354.9655173,22.25517241,27.77137931,4.068620692,0,239.8620689,20.96551724,616.6206897,0.420689654,2.756551726,162.9655172,0,0.031862071,778.2758619,432,0.047206893,0.398551723,0.25286207,0.103999998,12.68965518,26.13793103,0.02024138,17.24427586,7.791034485,0.901,NA,1.309655172,41.98965518,3.915172411,0
