LCA_Category,Convert_to_na,Search_Words
Rice,,\brice\b|\brices\b|\bjasmine\b|\bbasmati\b|\brice noodle(s)?\b|\brice pasta\b|vermicelli
Rice,NaN,\bcurry|\btea\b|\bchar siu\b|\bsweet & spicy\b|\bconditioner\b|\bshampoo\b|\bsoap(s)?\b|\bshower\b|\bbath\b|\bhand\b|\begg fried rice\b|\bchicken\b|\btofu\b|\bteabag(s)?\b|\bbroccoli\b|\bcauliflower\b|\balpro\b|\balmond dream\b|\bmilk\b|\bdrink\b|\bfudge cake
Wheat & Rye (Bread),,\bdurum\b|\bwheat\b|\bgram flour\b|\bflour\b|\bgrain(s)?\b|\bspelt\b|\bnoodle\b|\bcouscous\b|\bcous cous\b|\bpasta\b|\bspaghetti\b|\bmacaroni\b|\bcereal\b|\bmillet\b|\bsemolina\b|\bcouscous\b|\bgobetti\b|\bconchiglioni\b|\budon noddle(s)?\b|\bbiscuit(s)?\b|\bbrioche(s)?\b|\bcroissant(s)?\b|\bseed topped sub roll(s)?\b|\bseed topped white sub roll(s)?\b|\bbulgur\b|\bbreadcrumb(s)?\b|\bdurumwheatsemolina\b|\bwheatflour\b|\bfortifiedwheatflour\b|\bstarch\b|\bwholemealwheatflour\b|\bwheatstarch\b|\bwheatgluten\b|\bryeflour\b|\bwheatprotein\b|\bfermentedwheatflour\b|\bwholemealwheatflour.\b|\bingredients:wheatflour\b|\bwholegrainwheat\b|\bgrainwheat\b|\bwheatgluten\b|wheatbran|wheatfibre|wheatsemolina|maltedwheatflakes|wholewheat|croutons|wheatgerm|\bbulgarwheat\b|\bcrackedwheat\b|durumwheat|wholemealwheat|wheatberr|kibbledwheat|maltedwheat|toastedwheat|organicwheat|roastedwheat|semolinawheat|softwheatflour|speltwheat|wheatprotein|couscous|wheatflake(s)?|wheatglute|spelt wheat|fermentedryeflour|kibbledrye|maltedryeflakes|ryebran|ryeflake(s)?|sproutedryegrains|wholemealrye|breadcumb(s)?|shortbread crumb|wholemeal flatbread|shortbread slide|shortbread mix|wholegrainwheatflour|britishwheat|malted wheaties|groundwheat|whitewheatflour|grainwheatflour|wheatsourdough|wheatmeal|wheatrusk|wheatmalt|wheatfour|wheatflour1|wheatfeed|wheatfiber|wheatdextrose|Wheatdextrine|wheatstarch|unbleachedwheatflour|torrefiedwheat|sproutedwheat|raisingwheat|puffedwheat|enrichedwheat|cookedwheat|pastawheat|emerwheat|modifiedwheat|gwheatflour|ofwheatflour|khorasanwheatflour|freewheatstarch|fortifiedwheat|dodgerswheat|flakedwheat|finewheat|fermentedwheat|enrichedwheat|driedwheat|crispedwheat|bulgurwheat|gradewheatflour|chapattiwheat|attawheat|00wheatflour|wheat[0-9]|spelt|eggpasta|noodle|\btortilla chips|\bcream cones|\bcream crackers|\bcream wafers|\bpita|\bpretzel|\bbugles|\bcornet|\bvienna roal|\bmulti.*loaf|\bbaton|\bbaguette|\bbloomer|\bburger.*buns|\bsandwhich thins|\bbagels|\bdough ring|\bdipping cracker|\bsourdough crumpet|\bcheese topped rolls|\btortilla strips|\bpappardelle|\bmatzos|\bmilk.*loaf|\bpizza dough|\bfrench roule|\bwhite baguette|\bwhite roll|\\petit pain|\btoastie loaf|\bfarmhouse loaf|\bwhite farmhouse|\bwhite bloomer|\bold english white|\blower carb wholemeal|\bwholemeal.*loaf|\bwholemeal.*toastie|\bbest of both loaf|\bsquare cut loaf|\bsour dough|\bsourdough|\bwholemeal.*roll|\bfinger rolls|\bcrumpet|\bflatbread|\bwrap|\bbagel|\bpitta|\bpita|\bsandwich thin|\btoastie pocket|\bcountry slices|\bfusilli|\bcapellini|\bpizza base|\bpoppadom|\bnaan|\bthai crackers|\bcrackerbread|\bcrackers|\bpizza base|\bdumpling mix|\bmatzo meal|\bpappadum|\bciabatta|\bpizza dough|\bmorning roll|\bfinger roll|\bwholemeal loaf|\bsandwich roll|\bburger bun|\bsandwich loaf|\bnaan|\bflatbread|\bwholemeal bap|\bwhite bap|\bbagel|\bcountry slice|\bcrusty roll|\bmini wrap|\btoastie pocket|\bciabatta|\bpretzel|\bwhite bloomer|\bsoft white half|\bseeded bloomer|\bbreadstick|\bwhite pave|\bfired loaf taste|\bseeded loaf|\brustic loaf|\bcrusty roll|\bplain roll|\bwhite.*roll|\bchapati|\bchapatti|\bspirali|\blasagne sheet|\bconchiglie|\bfarfelle|\brigatoni|\bfusilli|\bpenne rigate|\btrottole|\borzo|\\tagliatelle|\bcook enne|\bcannelloni|\bcapellini|\balphabet shapes|\bpappardelle|\blinguine|\bfusili|\bfusilloni|\bcasarecce|\bmafalda corta|\bfarfalle|\bcourstades|\btraditional roti|\bwholemeal.*bap(s)?\b|\bwhite.*bap(s)?\b|\bessential waitrose lasagne\b|\bwhite.*roll(s)?\b|\bwholemeal.*roll(s)?\b|\bbrown.*loaf\b|\bwhite.*loaf\b|\bwholemeal.*loaf\b|\bfiliz elbow\b
Wheat & Rye (Bread),,\bbread(s)?\b|\brye\b|\bryebread\b|\brye bread\b|wholerye|wholegrainrye|toastedrye|ryecrumb|ryesourdough|sourdoughrye|ryemalt|ryeflour|grainrye|maltedrye|fermentedrye|cutrye|ryemeal
Wheat & Rye (Bread),NaN,gluten free|\bglutenfree|\bfree from gluten|\bactivia\b|\bgranola\b|\bmuesli\b|\bcoconut\b|\bchocolate\b|\bcat\b|\bdog\b|\btripe\b|\bchicken\b|\bminute noodles\b|\bcorn flake(s)\b|\bcorn bread\b|\bmasala noodles\b|\bcereal bars\b|\bchicken noodles\b|\bcoconut\b|\byogurt\b|\bnoodles masala\b|\btea\b|\bpasta snack\b|\sweet & sour\b|\bcheese\b|\bmozzarella\b|\blentils\b|\bgingerbread\b|\bcustard\b|\bbatchelors\b|\bfree from\b|\bsoup\b|\bflavour\b|\bspicy noodles\b|\bbeer\b|\btomato\b|\bcornflakes|\bedamame\b|\boreo\b|\bbahlsen\b|\bcadbury\b|\bmikado\b|\bvegetable\b|\bmushroom\b|\bbuckwheat\b
Maize (Meal),,\bmaize\b|\bcorn(s)?\b|\bsweetcorn\b|\bcornflour(s)?\b|\bcornstarch\b|\bmaizestarch\b|babycorn|popcorn|cornmeal|cornflake(s)?|flakesmaize|cornflour|\bbaby cobs|\bpolenta
Maize (Meal),NaN,\bcorn oil|\bcorn fed.*chicken|\btreatment kit
Barley (Beer),,\bbarley\b|\bbeer(s)?\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|\bale\b|\bstout|\bporter|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley| brew dog elvis juice|\bbrooklyn lager|\bhobgoblin gold|\blondon pride|\boakham citra|\bbrewdog|\bpilsner|\bperoni|\bbrewing co.|\bbrooklyn scorcher|\bsession ipa|\bdouble dragon|\byorkshire ipa|\byorkshire gold|\bheadland red|\bbad co das model|\bbutty bach|\bcourage best bitter|\badnams ghost ship|\bvillage ipa|\bbitter keg|\bbitter cans
Barley (Beer),NaN,ginger ale|ginger.*beer|crisps|Jalapeno|chilli peppers|aleyna|root beery|steak sauce|old jamaica|schweppes
Oatmeal,,\boat(s)?\b|\boat(\s)?meal\b|\boatflakes\b|\brolledoats\b|\bwholegrainoats\b|\boatflour\b|wholegrainoatflour|freeoats|oatbran|oatfibre|gluten free crumb coating|oatgroat(s)?|jumbooats|organicoatflakes|pureoats|wholegrainoatflakes|wholeoat|wholemealoat|wholegrainoat|scottishoat|rolledoat|maltedoat|grainoat|britishoat|oatflake|oatmeal|cookoats|rolledoat|oatflour|porridgeoat|pinheadoat|pinhead oat|organicoat|cookedoat|oatsjumbo|oatsflake|oatprotein|oats[0-9]|oatmealf|oatmealb|oatgrit|oatflake|oatflowering|oatfeed|oatblend|oatbase|oatcrispies|groundoatmeal|maltedoat|largeoat|oatsbase|groundoat|rolledoat|britishoat|quakeroats|rolledoat|\bgranola|\bmuesli
