,LCA_Category,Product_details,count,New_category,Search_terms,Search_order,Average_of_original_category,Search_terms_sub,Search_order_sub,Average_of_sub_category
1,Apples,Apples,51,,,,,,,
2,Bananas,Bananas,12,,,,,,,
3,Barley (Beer),Barley,20,Barley,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
10,Barley (Beer),Spring barley,6,Barley,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
11,Barley (Beer),Summer barley,9,Barley,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
12,Barley (Beer),Summer malting barley,6,Barley,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
13,Barley (Beer),Winter barley,12,Barley,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
14,Barley (Beer),Winter malting barley,2,Barley,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
4,Barley (Beer),Beer,1,Beer,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
5,Barley (Beer),"Beer (Horn Blonde Ale, RAM Brewery)",1,Beer,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
6,Barley (Beer),"Beer (HUB Lager, Hopworks Urban Brewery)",1,Beer,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
7,Barley (Beer),"Beer (Pinnacle Peak Pale Ale, Harmon Brewing Company)",1,Beer,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
8,Barley (Beer),Beer (Vashon Brewing Company),1,Beer,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
9,Barley (Beer),"Beer (Vortex IPA, Fort George Brewery)",1,Beer,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
15,Beet Sugar,Sugar,4,,,,,,,
16,Beet Sugar,Sugar beet,10,,,,,,,
17,Berries & Grapes,Raspberries,2,Raspberries,\braspberr,2,yes,,,
18,Berries & Grapes,Strawberries,,Strawberries,\bfraise|\bstrawberr(y|ies),1,,,,
,Berries & Grapes,Grapes,,,\bgrape|\braisin,3,,,,
18,Berries & Grapes,Other berries,5,Other berries,\bfraise|\bstrawberr(y|ies),4,,,,
19,Bovine Meat (beef herd),Beef,24,,,,,,,
20,Bovine Meat (dairy herd),Beef,11,,,,,,,
