,count (lca observations),LCA_Category,Product_details,LCA_sub_category,LCA_sub_sub_category,Search_terms,Search_order,Average_of_original_category,Search_terms_sub,Search_order_sub,Average_of_sub_category
1,51,Apples,Apples,,,,,,,,
2,12,Bananas,Bananas,,,,,,,,
3,20,Barley (Beer),Barley,Barley,,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
10,6,Barley (Beer),Spring barley,Barley,,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
11,9,Barley (Beer),Summer barley,Barley,,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
12,6,Barley (Beer),Summer malting barley,Barley,,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
13,12,Barley (Beer),Winter barley,Barley,,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
14,2,Barley (Beer),Winter malting barley,Barley,,\bbarley\b|\bmaltedbarley\b|\bbarleymalt\b|\bmaltedbarleyflour\b|\bmaltedbarleyextract\b|\broastedbarleymalt\b|\bpearlbarley\b|barleyflakes|barleyflour|barleyAllergy|blackbarley|cookedbarley|grainbarley|rolledbarley|groundbarley|pearlbarley|barleyfibre|barleykernels|maltbarley|barleymalt|barley malt|malt barley|roastedbarley|steamedbarley|barleygroat(s)?|nakedbarley,2,,,,
4,1,Barley (Beer),Beer,Beer,,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
5,1,Barley (Beer),"Beer (Horn Blonde Ale, RAM Brewery)",Beer,,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
6,1,Barley (Beer),"Beer (HUB Lager, Hopworks Urban Brewery)",Beer,,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
7,1,Barley (Beer),"Beer (Pinnacle Peak Pale Ale, Harmon Brewing Company)",Beer,,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
8,1,Barley (Beer),Beer (Vashon Brewing Company),Beer,,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
9,1,Barley (Beer),"Beer (Vortex IPA, Fort George Brewery)",Beer,,\bbeer(s)?\b|\bale|\bstout|\bporter,1,,,,
15,4,Beet Sugar,Sugar,,,,,,,,
16,10,Beet Sugar,Sugar beet,,,,,,,,
17,2,Berries & Grapes,Raspberries,Raspberries,,\braspberr,2,yes,,,
18,5,Berries & Grapes,Strawberries,Strawberries,,\bfraise|\bstrawberr(y|ies),1,,,,
0,0,Berries & Grapes,Grapes,Grapes,,\bgrape|\braisin,3,yes,,,
0,0,Berries & Grapes,Other berries,Other berries,Blueberry,,4,yes,blue,1,yes
0,0,Berries & Grapes,Other berries,Other berries,Cranberry,,4,yes,cran,2,yes
0,0,Berries & Grapes,Other berries,Other berries,Blackberry,,4,yes,black,3,yes
0,0,Berries & Grapes,Other berries,Other berries,Boysenberry,,4,yes,boysen,4,yes
0,0,Berries & Grapes,Other berries,Other berries,Mulberry,,4,yes,mulberry|\bmul,5,yes
0,0,Berries & Grapes,Other berries,Other berries,Currants,,4,yes,currant,6,yes
0,0,Berries & Grapes,Other berries,Other berries,Other berries,,4,yes,,7,yes
19,24,Bovine Meat (beef herd),Beef,,,,,,,,
20,11,Bovine Meat (dairy herd),Beef,,,,,,,,
21,8,Brassicas,Broccoli,Broccoli and cauliflower,Broccoli,\bbroccoli\b|\bbroccolini\b|\bcauliflower(s)?\b|broccoletti|broccoliallergy,1,,broccoli|broccolini|broccoletti|broccoliallergy,1,
23,3,Brassicas,Cauliflower,Broccoli and cauliflower,Cauliflower,\bbroccoli\b|\bbroccolini\b|\bcauliflower(s)?\b|broccoletti|broccoliallergy,1,,cauli|flower,2,yes
22,2,Brassicas,Cabbage,Cabbage,,\bbrusselsprout(s)?\b|\bbrussel sprout(s)?\b|\bcabbage(s)?\b|brussel,2,yes,,,
24,1,Brassicas,Pakchoi,Other brassicas,Bok Choy,,3,yes,bok|pak|pok|choy|choi,1,yes
25,2,Brassicas,Savoy cabbage,Cabbage,,\bbrusselsprout(s)?\b|\bbrussel sprout(s)?\b|\bcabbage(s)?\b,2,yes,,,
0,0,Brassicas,Other brassicas,Other brassicas,Other brassicas,,3,yes,,2,yes
26,17,Cane Sugar,Sugar,,,,,,,,
27,5,Cane Sugar,Sugar cane,,,,,,,,
28,2,Cassava,Cassava,,,,,,,,
29,1,Cheese,Cow's cheese (Gouda),Medium Cheese,,colby|monterey|gouda|provolone|havarti|marble|wensleydale|leicester|halloumi|emmental|colby|cheddar|gouda|edam|roquefort|gorgonzola|stilton|danish blue|derby|paneer|tylzycki|emmenthal|smoked cheese|morbier|gloucester|sokol|jarlsber|lincolnshire|montasio|ossau|parlick fell,2,,,,
30,28,Cheese,Cow's milk,Hard Cheese,,pecorino|parm|reggiano|manchego|hard|grana|padano|pepato|cotija|comte|asiago|gruyere|roncal|cantal|friesian|leiden|graviera|kefalotiri|idazabal|roncal|regato|italian|vicenza|gruy|comt|Kefalotyri|moravia,1,,,,
,28,Cheese,Cow's milk,Medium Cheese,,colby|monterey|gouda|provolone|havarti|marble|wensleydale|leicester|halloumi|emmental|colby|cheddar|gouda|edam|roquefort|gorgonzola|stilton|danish blue|derby|paneer|tylzycki|emmenthal|smoked cheese|morbier|gloucester|sokol|jarlsber|lincolnshire|montasio|ossau|parlick fell,2,,,,
,28,Cheese,Cow's milk,Soft Cheese,,mozz|brie|ricotta|munster|camembert|fontina|feta|goat|boursin|gorgonzola|cream|neufch|cottage|blue|bleu|buchette|fougerus|gourmandise|coeur de bray|saint albray|geramont|romadur|chaumes|ricotta|marscapone|bresso|limburger|soft|queso fresco|halloumi|burrata|feta|salad cheese|camembert|goat|cream|mascarpone|spread|epoiss|frais|curd|Chaource|Crescenza|frosting|La Retorta,3,,,,
,28,Cheese,Cow's milk,Other Cheese,,,4,yes,,,
31,1,Citrus Fruit,Blood oranges,Oranges,,\borange(s)?\b|\btangerine(s)?\b|\bgrape(\s)?fruit(s)?\b|\bpomelo(s?)\b|\bpomeloes\b|\bmandarin(s)?\b|\bclementine(s)?\b|citrus fibre|citrus peel|citrus pulp|citrus fiber,1,,,,
33,2,Citrus Fruit,Clementine,Oranges,,\borange(s)?\b|\btangerine(s)?\b|\bgrape(\s)?fruit(s)?\b|\bpomelo(s?)\b|\bpomeloes\b|\bmandarin(s)?\b|\bclementine(s)?\b|citrus fibre|citrus peel|citrus pulp|citrus fiber,1,,,,
35,1,Citrus Fruit,Mandarin,Oranges,,\borange(s)?\b|\btangerine(s)?\b|\bgrape(\s)?fruit(s)?\b|\bpomelo(s?)\b|\bpomeloes\b|\bmandarin(s)?\b|\bclementine(s)?\b|citrus fibre|citrus peel|citrus pulp|citrus fiber,1,,,,
36,12,Citrus Fruit,Oranges,Oranges,,\borange(s)?\b|\btangerine(s)?\b|\bgrape(\s)?fruit(s)?\b|\bpomelo(s?)\b|\bpomeloes\b|\bmandarin(s)?\b|\bclementine(s)?\b|citrus fibre|citrus peel|citrus pulp|citrus fiber,1,,,,
32,2,Citrus Fruit,Citrus,Other citrus,Other citrus,\blemon(s)?\b|\blime(s)?\b|citrus limon,2,,,2,yes
34,3,Citrus Fruit,Lemons,Other citrus,Lemons,\blemon(s)?\b|\blime(s)?\b|citrus limon,2,,\blemon,1,yes
37,12,Coffee,Coffee beans,Coffee beans,,,2,yes,,,
0,0,Coffee,Coffee beans,Brewed coffee,,\bbrewed|\bcold press|\bespresso|\bamericano|\blatt|\bcappucino|\bmocha|\bristretto|\blungo|\bflat white,1,yes,,,
38,2,Crustaceans (farmed),Amazon river prawn,Prawn,,prawn|cray(\s?)fish|craw(\s)?fish,2,,,,
39,2,Crustaceans (farmed),Giant giver prawn,Prawn,,prawn|cray(\s?)fish|craw(\s)?fish,2,,,,
40,3,Crustaceans (farmed),Giant river prawn,Prawn,,prawn|cray(\s?)fish|craw(\s)?fish,2,,,,
41,7,Crustaceans (farmed),Shrimp,Shrimp,,shrimp|scampi,1,,,,
42,5,Crustaceans (farmed),Tiger prawn,Prawn,,prawn|cray(\s?)fish|craw(\s)?fish,2,,,,
0,0,Crustaceans (farmed),,Other Crustaceans (farmed),,,3,yes,,,
43,1,Dark Chocolate,Chocolate,Chocolate,,,2,yes,,,
44,8,Dark Chocolate,Cocoa,Cocoa,,\bcocoa\b|\bcacao\b|\btheobroma\b|cocoabutter|\bhot\b,1,,,,
45,12,Eggs,Chicken's eggs,,,,,,,,
46,1,Fish (farmed),"Common carp, tench, roach, perch, pike",Carp & catfish,,\bcarp|\bcatfish|\bcat fish|\bcyprinus|\btench|\broach|\bperch|\bpike|\bpangasius,5,,,,
47,1,Fish (farmed),"Common carp, tench, roach, perch, sander, pike",Carp & catfish,,\bcarp|\bcatfish|\bcat fish|\bcyprinus|\btench|\broach|\bperch|\bpike|\bpangasius,5,,,,
48,3,Fish (farmed),"Grass carp, silver carp, big head carp, common carp, catfish",Carp & catfish,,\bcarp|\bcatfish|\bcat fish|\bcyprinus|\btench|\broach|\bperch|\bpike|\bpangasius,5,,,,
49,3,Fish (farmed),Pangasius,Carp & catfish,,\bcarp|\bcatfish|\bcat fish|\bcyprinus|\btench|\broach|\bperch|\bpike|\bpangasius,5,,,,
50,1,Fish (farmed),Rainbow trout,Trout & salmon,Trout,\bsalmo|\btrout|\bcoho|\bchinook|\bking|\btyee|\bspring(er|s)|\bblackmouth|\bsockeye|\bpink|\bchum|\brainbow|\bchar,1,,\btrout|\bchar,1,
51,3,Fish (farmed),Salmon,Trout & salmon,Salmon,\bsalmo|\btrout|\bcoho|\bchinook|\bking|\btyee|\bspring(er|s)|\bblackmouth|\bsockeye|\bpink|\bchum|\brainbow|\bchar,1,,,2,yes
52,1,Fish (farmed),"Sea bass, sea bream",Sea bream,,\bsea(\s)?bream|\bsea(\s)?bass,2,,,,
53,2,Fish (farmed),Tambaqui,Tambaqui,,\btambaqui|\bpacu|\bcachama|\bgamitana,3,yes,,,
54,9,Fish (farmed),Tilapia,Tilapia,,\btilapia,4,,,,
55,4,Fish (farmed),"Tilapia, African catfish",Tilapia,,\btilapia,4,,,,
0,0,Fish (farmed),Other farmed fish,Other farmed fish,,,6,yes,,,
