taxa,full_taxa_name,stressor,source,median,lower_95,upper_95,weight,allocation,production,,
bivalves,bivalves,GHG,total on- and off-farm,1413.76413,0,4350.489865,edible,mass,aquaculture,,
catfish,catfish,GHG,total on- and off-farm,7774.491103,6927.102168,8763.607417,edible,mass,aquaculture,,
hypoph_carp,silver/bighead,GHG,total on- and off-farm,3510.591001,1986.113972,5535.962852,edible,mass,aquaculture,,
milkfish,milkfish,GHG,total on- and off-farm,6434.886518,4539.354087,8867.435447,edible,mass,aquaculture,,
misc_diad,misc diadromous fishes,GHG,total on- and off-farm,18905.92209,13227.86695,25950.03413,edible,mass,aquaculture,,
misc_marine,misc marine fishes,GHG,total on- and off-farm,11595.17858,9526.711801,13985.54834,edible,mass,aquaculture,,
oth_carp,misc carps,GHG,total on- and off-farm,6946.922702,5865.244039,8129.767698,edible,mass,aquaculture,,
plants,plants,GHG,total on- and off-farm,1125.519825,0,3307.960819,edible,mass,aquaculture,,
salmon,salmon,GHG,total on- and off-farm,5100.985973,4140.394432,6164.380999,edible,mass,aquaculture,,
shrimp,shrimp,GHG,total on- and off-farm,9428.015643,8474.009294,10388.13129,edible,mass,aquaculture,,
tilapia,tilapia,GHG,total on- and off-farm,10675.98157,9654.123757,11752.27913,edible,mass,aquaculture,,
trout,trout,GHG,total on- and off-farm,5409.547178,4203.365091,6654.879511,edible,mass,aquaculture,,
bivalves,bivalves,N,total on- and off-farm,-129.8268507,-193.0719581,-67.39909798,edible,mass,aquaculture,,
catfish,catfish,N,total on- and off-farm,132.8816973,111.5239614,154.133445,edible,mass,aquaculture,,
hypoph_carp,silver/bighead,N,total on- and off-farm,43.2844742,0.115852421,86.44479713,edible,mass,aquaculture,,
milkfish,milkfish,N,total on- and off-farm,146.5361472,81.73386743,212.8186399,edible,mass,aquaculture,,
misc_diad,misc diadromous fishes,N,total on- and off-farm,156.05219,41.14302217,275.7359381,edible,mass,aquaculture,,
misc_marine,misc marine fishes,N,total on- and off-farm,234.552923,189.1213745,285.7140261,edible,mass,aquaculture,,
oth_carp,misc carps,N,total on- and off-farm,147.7959175,123.7014046,174.4696045,edible,mass,aquaculture,,
plants,plants,N,total on- and off-farm,-14.65288469,-66.51815247,35.14926742,edible,mass,aquaculture,,
salmon,salmon,N,total on- and off-farm,110.5565086,84.75869272,136.9220292,edible,mass,aquaculture,,
shrimp,shrimp,N,total on- and off-farm,123.0370341,105.7316975,140.6331596,edible,mass,aquaculture,,
tilapia,tilapia,N,total on- and off-farm,199.8315172,180.9737007,218.2696629,edible,mass,aquaculture,,
trout,trout,N,total on- and off-farm,98.88904,72.37031874,126.1835627,edible,mass,aquaculture,,
bivalves,bivalves,P,total on- and off-farm,-24.27907717,-38.93650213,-9.890630347,edible,mass,aquaculture,,
catfish,catfish,P,total on- and off-farm,20.81667642,17.26923414,24.60327885,edible,mass,aquaculture,,
hypoph_carp,silver/bighead,P,total on- and off-farm,6.56289552,-0.194163399,13.49228973,edible,mass,aquaculture,,
milkfish,milkfish,P,total on- and off-farm,23.92139217,11.62965277,38.85940406,edible,mass,aquaculture,,
misc_diad,misc diadromous fishes,P,total on- and off-farm,37.50265945,9.580161716,75.4371369,edible,mass,aquaculture,,
misc_marine,misc marine fishes,P,total on- and off-farm,50.17616112,37.93418269,64.66790452,edible,mass,aquaculture,,
oth_carp,misc carps,P,total on- and off-farm,20.26049016,16.11160895,25.04661033,edible,mass,aquaculture,,
plants,plants,P,total on- and off-farm,-10.14246064,-22.05091167,1.662293447,edible,mass,aquaculture,,
salmon,salmon,P,total on- and off-farm,26.61969116,21.0571599,32.36542833,edible,mass,aquaculture,,
shrimp,shrimp,P,total on- and off-farm,23.98413645,20.67234141,27.37980657,edible,mass,aquaculture,,
tilapia,tilapia,P,total on- and off-farm,24.41310789,21.49351564,27.37820523,edible,mass,aquaculture,,
trout,trout,P,total on- and off-farm,23.21956704,17.31932387,29.2137002,edible,mass,aquaculture,,
bivalves,bivalves,Water,total on- and off-farm,0,0,0,edible,mass,aquaculture,,
catfish,catfish,Water,total on- and off-farm,2094.4458,1318.250475,2886.662676,edible,mass,aquaculture,,
hypoph_carp,silver/bighead,Water,total on- and off-farm,9277.279692,7431.861834,11154.72605,edible,mass,aquaculture,,
oth_carp,misc carps,Water,total on- and off-farm,3522.775104,2543.045772,4518.437249,edible,mass,aquaculture,,
plants,plants,Water,total on- and off-farm,0,0,0,edible,mass,aquaculture,,
tilapia,tilapia,Water,total on- and off-farm,1230.467594,450.371448,2027.180247,edible,mass,aquaculture,,
trout,trout,Water,total on- and off-farm,112.580508,0,1087.36764,edible,mass,aquaculture,,
milkfish,milkfish,Water,total on- and off-farm,282.91342,197.3377619,382.2754713,edible,mass,aquaculture,,
misc_diad,misc diadromous fishes,Water,total on- and off-farm,362.8803627,139.0406994,769.0502808,edible,mass,aquaculture,,
misc_marine,misc marine fishes,Water,total on- and off-farm,401.3947201,311.3712735,517.9489909,edible,mass,aquaculture,,
salmon,salmon,Water,total on- and off-farm,155.7114717,132.4148296,181.0703413,edible,mass,aquaculture,,
shrimp,shrimp,Water,total on- and off-farm,219.1653337,196.0056878,242.4103164,edible,mass,aquaculture,,
bivalves,bivalves,Land,total on- and off-farm,0,0,0,edible,mass,aquaculture,,
