Type,Species,LCA_Category,LCA_Category_sub,Gephart Category,Capture,Total by Group,Grand Total,Weighting
Finfish,Anchovy,Fish,Other fish,Small pelagic fishes,7045,71926,85354,0.082538604
Finfish,Pollock,Fish,Other fish,Large pelagic fish,3397,71926,85354,0.039798955
Finfish,Tuna,Fish,Other fish,Large pelagic fish,3161,71926,85354,0.037034
Finfish,Herring,Fish,Other fish,Small pelagic fishes,1820,71926,85354,0.021322961
Finfish,Blue whiting,Fish,Other fish,Small pelagic fishes,1712,71926,85354,0.020057642
Finfish,Pilchard,Fish,Other fish,Small pelagic fishes,1608,71926,85354,0.018839187
Finfish,Mackerel,Fish,Other fish,Small pelagic fishes,1557,71926,85354,0.018241676
Finfish,Tuna,Fish,Other fish,Large pelagic fish,1458,71926,85354,0.017081801
Finfish,Scads nei,Fish,Other fish,Small pelagic fishes,1336,71926,85354,0.015652459
Finfish,Cod,Fish,Other fish,Large pelagic fish,1218,71926,85354,0.014269981
Finfish,Hairtail,Fish,Other fish,Large pelagic fish,1151,71926,85354,0.013485015
Finfish,Mackerel,Fish,Other fish,Small pelagic fishes,1047,71926,85354,0.01226656
Finfish,Anchovy,Fish,Other fish,Small pelagic fishes,957,71926,85354,0.011212128
Finfish,Sardinellas,Fish,Other fish,Small pelagic fishes,887,71926,85354,0.010392014
Finfish,Others,Fish,Other fish,,43572,71926,85354,0.510485742
Crustaceans,Decapods,Crustaceans,Other Crustaceans,,850,6939,85354,0.009958526
Crustaceans,Crab,Crustaceans,Other Crustaceans,,493,6939,85354,0.005775945
Crustaceans,Shrimp,Crustaceans,Shrimp,Shrimps,439,6939,85354,0.005143286
Crustaceans,Krill,Crustaceans,Other Crustaceans,,322,6939,85354,0.003772524
Crustaceans,Crab,Crustaceans,Other Crustaceans,,314,6939,85354,0.003678797
Crustaceans,Crab,Crustaceans,Other Crustaceans,,298,6939,85354,0.003491342
Crustaceans,Shrimp,Crustaceans,Shrimp,Shrimps,256,6939,85354,0.002999274
Crustaceans,Shrimp,Crustaceans,Shrimp,Shrimps,248,6939,85354,0.002905546
Crustaceans,Shrimp,Crustaceans,Prawn,Shrimps,439,6939,85354,0.005143286
Crustaceans,Shrimp,Crustaceans,Prawn,Shrimps,256,6939,85354,0.002999274
Crustaceans,Shrimp,Crustaceans,Prawn,Shrimps,248,6939,85354,0.002905546
Crustaceans,Others,Crustaceans,Other Crustaceans,,2776,6939,85354,0.032523373
Molluscs,Squid,Fish,Other fish,Cephalopods,892,5959,85354,0.010450594
Molluscs,Molluscs,Fish,Other fish,Cephalopods,664,5959,85354,0.007779366
Molluscs,Squid,Fish,Other fish,Cephalopods,570,5959,85354,0.00667807
Molluscs,Squid,Fish,Other fish,Cephalopods,369,5959,85354,0.004323172
Molluscs,Squid,Fish,Other fish,Cephalopods,348,5959,85354,0.004077138
Molluscs,Cephalopods,Fish,Other fish,Cephalopods,322,5959,85354,0.003772524
Molluscs,Scallop,Fish,Other fish,Bivalves,316,5959,85354,0.003702228
Molluscs,Others,Fish,Other fish,Cephalopods,2478,5959,85354,0.029032031
Other animals,Jellyfish,Fish,Other fish,,264,530,85354,0.003093001
Other animals,Aquatic invertebrates,Fish,Other fish,,116,530,85354,0.001359046
Other animals,Sea cucumbers,Fish,Other fish,,48,530,85354,0.000562364
Other animals,Sea urchin,Fish,Other fish,,32,530,85354,0.000374909
Other animals,Jellyfish,Fish,Other fish,,29,530,85354,0.000339761
Other animals,Sea urchin,Fish,Other fish,,25,530,85354,0.000292898
Other animals,Others,Fish,Other fish,,16,530,85354,0.000187455
,,,,,,,,
,,,,,,,,1
