Data S2 Name,Group,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq)
Wheat & Rye (Bread),starch_rich,3.85,3.85,0,18.41002505,1.57,13.35,7.16,647.5,31837.27465
Maize (Meal),starch_rich,2.94,2.94,0,74.18898705,1.7,11.68,4.03,215.7,6646.024763
Barley (Beer),alcohols,1.11,1.11,0,10.59207797,1.18,6.59,2.33,17.1,981.9888139
Oatmeal,starch_rich,7.6,7.6,0,49.34875944,2.48,10.68,11.23,482.4,11608.48074
Rice,starch_rich,2.8,2.8,0,64.57230826,4.45,27.19,35.07,2248.4,56564.23343
Potatoes,starch_rich,0.88,0.88,0,7.034644699,0.46,3.87,3.48,59.1,2923.923848
Cassava,starch_rich,1.81,1.81,0,33.79069802,1.32,3.42,0.69,0,0
Cane Sugar,sugars,2.04,2.04,0,67.45778222,3.2,18.02,16.92,620.1,29117.85506
Beet Sugar,sugars,1.83,1.83,0,13.84061511,1.81,12.62,5.41,217.7,1056.199009
Other Pulses,protein_rich,15.57,15.57,0,216.9054251,1.79,22.07,17.08,435.7,15428.65052
Peas,protein_rich,7.46,7.46,0,59.20037298,0.98,8.49,7.52,396.6,13299.16653
Nuts,protein_rich,12.96,12.96,0,300.9895762,0.43,45.15,19.15,4133.8,83077.42708
Groundnuts,protein_rich,9.11,9.11,0,137.4514638,3.23,22.62,14.14,1852.3,54853.0111
Soymilk,milks,0.66,0.66,0,10.0644594,0.98,2.6,1.06,27.8,1274.861362
Tofu,protein_rich,3.52,3.52,0,49.75552753,3.16,6.7,6.16,148.6,5450.864816
Soybean Oil,oils,10.52,10.52,0,156.7755696,6.32,15.67,11.69,414.6,20946.34156
Palm Oil,oils,2.42,2.42,0,443.8593869,7.32,17.52,10.67,6.4,207.9497965
Sunflower Oil,oils,17.66,17.66,0,181.3697626,3.6,27.96,50.66,1007.9,34215.38367
